restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",250,Delivery
Karavali Lunch Home,Yes,No,3.7,51,Kumaraswamy Layout,"South Indian, Mangalorean",175,Delivery
Hatti Kaapi,Yes,No,4,89,Jayanagar,"South Indian, Beverages",100,Delivery
Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,"Fast Food, Rolls",125,Delivery
Upahara Darshini,Yes,No,3.9,40,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",300,Delivery
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Fast Food,100,Delivery
Anda Ka Funda,Yes,No,3.4,89,Jayanagar,"North Indian, Chinese, Rolls",125,Delivery
Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Basavanagudi,"Beverages, Fast Food",75,Delivery
My Tea House,Yes,No,3.6,62,Banashankari,"Italian, Fast Food, Cafe, European",300,Delivery
Ibaco,Yes,No,3.9,33,Jayanagar,Desserts,150,Delivery
Jalaram Sweets,Yes,No,3.8,32,Jayanagar,"Desserts, Mithai",125,Delivery
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,"North Indian, Chinese, South Indian",275,Delivery
Bendakaluru Bytes,Yes,No,3.2,154,Vijay Nagar,Fast Food,150,Delivery
Cocoa Bakes,Yes,No,3.6,14,Banashankari,"Bakery, Desserts",175,Delivery
Chumma Delicious,Yes,No,3.7,237,Banashankari,"South Indian, Fast Food",100,Delivery
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,"Biryani, North Indian, Seafood, Andhra",325,Delivery
SSV Upahar,Yes,No,3.700497969,0,Jayanagar,"South Indian, Chinese",150,Delivery
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",250,Delivery
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,"North Indian, Afghani, Mughlai",600,Delivery
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,325,Delivery
Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,"Italian, Chinese, Street Food",125,Delivery
