restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
Shree Mandarathi Grand,Yes,No,3.7,38,Uttarahalli,"South Indian, North Indian",200,Delivery
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Pizza,300,Delivery
Iceberg Icecreams,Yes,No,4,43,Basavanagudi,"Desserts, Ice Cream",125,Delivery
South Kitchen,Yes,No,4.3,275,Basavanagudi,South Indian,50,Delivery
Chung Wah,Yes,No,3.7,323,Jayanagar,"Chinese, Thai, Momos",425,Delivery
Shanthi Sagar,Yes,No,3.1,28,Uttarahalli,"South Indian, North Indian, Chinese",200,Delivery
Millet Mama,Yes,No,3.9,18,Basavanagudi,"South Indian, Healthy Food",100,Delivery
Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,"Street Food, Fast Food",50,Delivery
South Cool Point,Yes,No,3.700497969,0,Basavanagudi,Beverages,50,Delivery
Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,South Indian,200,Delivery
Java City,Yes,No,2.6,157,Jayanagar,"Cafe, American, Pizza",225,Delivery
Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,"South Indian, Fast Food",150,Delivery
Woodee Pizza,Yes,No,3.7,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",250,Delivery
Puliyogare Point,Yes,No,4.2,444,Basavanagudi,South Indian,50,Delivery
Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,"Street Food, North Indian, South Indian",200,Delivery
Rustic Stove,Yes,No,3.8,577,Jayanagar,"North Indian, South Indian, Biryani, Beverages",450,Delivery
Udupi Ruchi Grand,Yes,No,4.2,60,Banashankari,"South Indian, North Indian, Chinese, Street Food",100,Delivery
De Thaali,Yes,No,3.9,144,Jayanagar,"North Indian, Chinese, Rolls",275,Delivery
Spice Elephant,Yes,No,4.1,787,Banashankari,"Chinese, North Indian, Thai",400,Delivery
Just Thindi,Yes,No,3.6,16,Basavanagudi,South Indian,100,Delivery
Matru Sagar,Yes,No,3.6,84,Banashankari,"South Indian, North Indian, Chinese",125,Delivery
Vasanth Vihar - Since 1965,Yes,No,3.6,95,Banashankari,"South Indian, Street Food",75,Delivery
Sea Spice by 7 Star,Yes,Yes,4,349,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",600,Delivery
Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,"North Indian, Fast Food",200,Delivery
Cafe Aira,Yes,No,4.1,216,Basavanagudi,"Cafe, Continental, Beverages, Desserts",250,Delivery
Donne Biriyani combos,Yes,No,3.700497969,0,Kumaraswamy Layout,Biryani,200,Delivery
Penthouse Cafe,Yes,No,4,324,Banashankari,"Cafe, Italian, Continental",350,Delivery
Mast Punjabi,Yes,No,2.6,231,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",200,Delivery
South Grand,Yes,No,3.4,102,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",200,Delivery
Catch-up-ino,Yes,No,3.9,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",400,Delivery
The Pizzeria,Yes,No,2.8,45,Banashankari,"Pizza, Italian, Salad",400,Delivery
Cafe Zone,Yes,No,3.9,149,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",150,Delivery
Ruchis Point,Yes,No,3.8,75,Banashankari,"Fast Food, Chinese",100,Delivery
Firangi Bake,Yes,No,4,53,Rajarajeshwari Nagar,"Mexican, Italian",300,Delivery
The Royal Corner - Pai Viceroy,Yes,Yes,4.2,815,Jayanagar,"North Indian, Chinese",450,Delivery
Hara Fine Dine,Yes,Yes,4,633,Banashankari,"North Indian, Chinese",400,Delivery
Chocoberry,Yes,No,3.5,56,Jayanagar,"Ice Cream, Desserts, Beverages",200,Delivery
Dakshin Grand,Yes,No,3,82,Banashankari,"South Indian, North Indian, Chinese, Street Food",150,Delivery
Sandwichwallas,Yes,No,3.7,35,Jayanagar,Fast Food,100,Delivery
Chai Mane,Yes,No,3.6,20,Basavanagudi,"Juices, Fast Food",75,Delivery
SLV Upachar,Yes,No,3.1,14,Kumaraswamy Layout,"South Indian, Chinese, Street Food",125,Delivery
Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,"Fast Food, Desserts, Ice Cream",200,Delivery
Cross Road Cafe,Yes,No,3.9,91,Jayanagar,"Cafe, Fast Food, Chinese",150,Delivery
Anand Donne Biriyani,Yes,No,3.6,45,Jayanagar,Biryani,100,Delivery
Seven Star,Yes,No,3.4,7,Banashankari,"North Indian, Chinese",125,Delivery
Stop 'N' Joy,Yes,No,3.8,28,Banashankari,Fast Food,75,Delivery
Sri Yaksha Shiv Sagar,Yes,No,3.6,24,Banashankari,"North Indian, Chinese",300,Delivery
Fudge,Yes,No,3.8,36,Basavanagudi,"Desserts, Momos",100,Delivery
Just Bunny,Yes,No,3.5,11,Jayanagar,Fast Food,100,Delivery
Bakers Town,Yes,No,3.8,77,Kumaraswamy Layout,"Cafe, Continental, Fast Food",325,Delivery
Shree Mahalakshmi Sweets,Yes,No,3.2,8,Banashankari,"Mithai, Street Food",50,Delivery
Kaapi Kendra,Yes,No,3.7,14,Jayanagar,South Indian,50,Delivery
Ivy,Yes,No,3.8,210,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",300,Delivery
The Airos,Yes,No,4.1,130,Jayanagar,"Cafe, Italian, Pizza",325,Delivery
Chai Kraft,Yes,No,4.1,30,Jayanagar,"Beverages, Tea",50,Delivery
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,"Chinese, Cafe, Italian",350,Delivery
South Point Pub,Yes,No,3.4,11,Basavanagudi,"North Indian, Seafood, Chinese",400,Delivery
The Trundle,Yes,No,3.7,133,Jayanagar,"Chinese, Thai, Continental, North Indian",350,Delivery
The Krishna Grand Xpress,Yes,No,4,136,Jayanagar,"South Indian, Fast Food",175,Delivery
Sri Krishna Darshini,Yes,No,3.1,4,Basavanagudi,"South Indian, North Indian, Chinese",100,Delivery
Shringar Sweets & Snacks,Yes,No,3.5,11,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",100,Delivery
Udupi Grand,Yes,No,3.8,74,Basavanagudi,"South Indian, North Indian, Chinese",150,Delivery
Ganesh Grand,Yes,No,3.7,30,Basavanagudi,"South Indian, North Indian, Desserts",150,Delivery
Shreyas Upahar & Burger Point,Yes,No,3,7,Basavanagudi,"South Indian, Burger",100,Delivery
Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, South Indian",100,Delivery
Little Cafe,Yes,No,3.7,54,Basavanagudi,"Cafe, Beverages",300,Delivery
Mumbai Badam Milk & Lassi Center,Yes,No,3.6,23,Basavanagudi,"Beverages, Desserts",50,Delivery
Sri Krishna Sagar,Yes,No,3.2,119,Banashankari,"North Indian, Chinese",200,Delivery
Mylari Biryani Family Restaurant,Yes,No,3.7,73,Banashankari,"Biryani, Fast Food",200,Delivery
1980s Games Cafe,Yes,No,3.4,58,Basavanagudi,"Cafe, Fast Food",200,Delivery
Kadala Tarangaa,Yes,No,3.6,129,Banashankari,"Mangalorean, Seafood, North Indian",300,Delivery
Namma Biryani,Yes,No,3.6,24,Banashankari,"Biryani, Chinese, North Indian",125,Delivery
Nandhanu's Rasoi,Yes,No,3,175,Kumaraswamy Layout,"Chinese, North Indian",200,Delivery
Hotel Pork Paradise,Yes,No,3.7,21,Mysore Road,South Indian,150,Delivery
As On Fire,Yes,No,3.5,41,South Bangalore,"Pizza, Fast Food, BBQ",200,Delivery
J K Fish Land,Yes,No,3.6,35,Jayanagar,"Seafood, Mangalorean",150,Delivery
Curry Leaves,Yes,No,4.1,176,Basavanagudi,"Andhra, North Indian, Chinese",400,Delivery
Lassi Shop,Yes,No,3.5,45,Banashankari,"Beverages, Ice Cream, Fast Food",150,Delivery
Magic Meals,Yes,No,3.7,47,Jayanagar,"Fast Food, Desserts, Beverages",200,Delivery
Desi Cream Junction,Yes,Yes,3.7,36,Jayanagar,"Chinese, North Indian, Pizza, Italian",325,Delivery
Drunken Monkey,Yes,No,3.8,52,Kumaraswamy Layout,"Beverages, Fast Food",200,Delivery
Ruchi's Corner,Yes,No,2.7,123,Banashankari,Fast Food,100,Delivery
Tandoori Bytes,Yes,No,3.6,59,Kumaraswamy Layout,North Indian,350,Delivery
Bangalore Donne Biriyani,Yes,No,3.2,4,Kumaraswamy Layout,"South Indian, Biryani",150,Delivery
SGS Non Veg - Gundu Pulav,Yes,No,3.8,101,Banashankari,"Biryani, Fast Food",200,Delivery
Keventers,Yes,No,3.7,54,Banashankari,"Desserts, Beverages, Ice Cream",200,Delivery
Sree Sagar,Yes,No,3.700497969,0,Banashankari,South Indian,100,Delivery
Navi Food Point,Yes,No,3.6,22,Basavanagudi,Fast Food,100,Delivery
Shawarma Inc,Yes,No,3.1,31,Banashankari,"Rolls, Lebanese",125,Delivery
The Cafe Nuts and Bolts,Yes,No,3,29,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",250,Delivery
AM WOW,Yes,No,3.4,6,Jayanagar,Beverages,50,Delivery
Lalbagh Grand,Yes,No,3,22,Basavanagudi,"South Indian, North Indian, Chinese",125,Delivery
Funjabi Curries,Yes,No,2.9,11,Banashankari,North Indian,250,Delivery
Eat Repeat,Yes,No,3.9,101,Basavanagudi,South Indian,75,Delivery
Salut,Yes,Yes,4.1,442,Jayanagar,"Continental, Finger Food, Seafood, Pizza",600,Delivery
Nammura Donne Biriyani,Yes,No,3.5,155,Basavanagudi,"Biryani, Fast Food",200,Delivery
Lassi Stop,Yes,No,3.4,12,Banashankari,"Beverages, Fast Food, Juices",75,Delivery
Dakshin Kitchen,Yes,No,3.6,15,Basavanagudi,South Indian,50,Delivery
Sri Sai Cafe,Yes,No,3.5,10,Basavanagudi,South Indian,100,Delivery
Sri Sai 99 Variety Dosa,Yes,No,3.8,25,Banashankari,South Indian,150,Delivery
Utsav Restaurant,Yes,No,3.8,61,Banashankari,"North Indian, Chinese",150,Delivery
Crunch and Munch,Yes,No,3.7,23,Uttarahalli,"Chinese, Street Food, Ice Cream",150,Delivery
Food Geek,Yes,No,3.8,25,Basavanagudi,"Sandwich, Fast Food, Rolls",175,Delivery
Sri Krishna Aramane,Yes,No,3.7,40,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Fast Food",100,Delivery
Great Indian Rolls,Yes,No,3.3,4,Basavanagudi,Rolls,50,Delivery
Chats Point,Yes,No,3.4,8,Basavanagudi,"Fast Food, Street Food",75,Delivery
Food Point,Yes,No,3.5,32,Kumaraswamy Layout,"North Indian, Chinese",150,Delivery
Swarga Ruchi,Yes,No,3.3,10,Basavanagudi,South Indian,100,Delivery
Kolkata King,Yes,No,3.4,6,Basavanagudi,"Fast Food, Rolls",150,Delivery
Sandwich Mama's And Frozen Monster,Yes,No,3.8,53,Jayanagar,"Ice Cream, Beverages, Fast Food",125,Delivery
New Rajadhani Spicy,Yes,No,3.7,67,Kumaraswamy Layout,North Indian,350,Delivery
Big Mishra Pedha,Yes,No,2.9,23,Jayanagar,Mithai,125,Delivery
VEGeatz,Yes,No,3.4,19,Banashankari,"South Indian, North Indian",100,Delivery
Foodizo,Yes,No,3.6,24,Banashankari,"Desserts, Fast Food, Continental",150,Delivery
Food Springs,Yes,No,4,232,Jayanagar,"South Indian, Chinese",200,Delivery
Chung's Chinese Corner,Yes,No,3.9,221,Jayanagar,Chinese,350,Delivery
Eurasia Pasta and Barbeque by Little Italy,Yes,Yes,4.1,1063,Jayanagar,"Italian, Fast Food, Salad, BBQ",600,Delivery
Goli Vada Pav No. 1,Yes,No,3.7,93,Basavanagudi,Street Food,100,Delivery
Ragoo's,Yes,No,3.9,233,Jayanagar,"Italian, Pizza, North Indian, Salad",400,Delivery
Pure & Natural,Yes,No,3.9,211,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",250,Delivery
Maiyas,Yes,No,4,1778,Jayanagar,"North Indian, South Indian, Fast Food, Juices",100,Delivery
Sip n Dine,Yes,No,3.6,218,Vijay Nagar,"North Indian, Chinese, South Indian",400,Delivery
Cafe Mondo,Yes,No,3.7,514,Basavanagudi,"Cafe, Italian, Beverages",300,Delivery
Jalpaan,Yes,Yes,4,866,Jayanagar,"North Indian, Continental",450,Delivery
Kataria's Pakwan,Yes,No,3.2,96,Kumaraswamy Layout,North Indian,200,Delivery
Juicy Momos,Yes,No,3.5,80,Banashankari,"Tibetan, Momos",125,Delivery
Amande Patisserie,Yes,No,4,73,Basavanagudi,"Bakery, French, Desserts",150,Delivery
Anand Sweets and Savouries,Yes,No,3.9,84,Jayanagar,"Mithai, Street Food",200,Delivery
Chicken Hunt,Yes,No,3.5,88,Banashankari,"South Indian, North Indian, Chinese, Biryani",175,Delivery
Swadesh Tadka,Yes,No,3.5,179,Banashankari,"North Indian, Chinese, Beverages",300,Delivery
Cane-O-La,Yes,No,3.8,61,Basavanagudi,Juices,50,Delivery
New Biryani Mane,Yes,No,3.7,128,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",225,Delivery
Upahara Darshini,Yes,No,3.8,339,Jayanagar,"South Indian, North Indian, Chinese",200,Delivery
Karnataka Bhel House,Yes,No,4.1,449,Basavanagudi,Street Food,50,Delivery
Sreeraj Lassi Bar,Yes,No,4.1,210,Jayanagar,Beverages,75,Delivery
Juice Junction Food Court,Yes,No,3.7,57,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",100,Delivery
Bunt's Biriyani Palace,Yes,No,3,213,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",200,Delivery
Chai Point,Yes,No,3.2,208,Jayanagar,"Tea, Beverages, Fast Food",125,Delivery
Janahaar,Yes,No,3.8,70,Banashankari,South Indian,50,Delivery
Redberrys,Yes,No,4,219,Basavanagudi,"Cafe, Italian",300,Delivery
Utsav,Yes,No,3.7,59,Banashankari,"North Indian, Street Food",100,Delivery
Meat And Eat,Yes,No,3.1,10,Banashankari,"Fast Food, Burger",250,Delivery
Snacks Bite,Yes,No,3,9,Kumaraswamy Layout,"Fast Food, Momos",200,Delivery
The Spice Saga,Yes,No,3.7,124,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",375,Delivery
Dakshin Cafe,Yes,No,3.7,19,Kumaraswamy Layout,South Indian,50,Delivery
Mr. Parathewala,Yes,No,3.700497969,0,Jayanagar,North Indian,150,Delivery
Kaulige Millet Corner,Yes,No,3.3,4,Basavanagudi,"Healthy Food, South Indian",75,Delivery
Ifruit Ice Cream,Yes,No,3.3,4,Kumaraswamy Layout,"Desserts, Ice Cream",75,Delivery
Havmor,Yes,No,3.8,21,Basavanagudi,"Ice Cream, Desserts",100,Delivery
Grand Food,Yes,No,3.4,8,Banashankari,"South Indian, Bakery, Chinese",125,Delivery
Dining Hut,Yes,No,3.5,10,Kumaraswamy Layout,"North Indian, Chinese, South Indian",200,Delivery
7 Hills Garden Restaurant,Yes,No,3.700497969,0,Banashankari,"North Indian, Mughlai, Chinese",200,Delivery
Desi Swaad,Yes,No,3.5,10,Kumaraswamy Layout,North Indian,200,Delivery
Yummy Momos,Yes,No,3.2,4,Kumaraswamy Layout,"Momos, Tibetan, Chinese",100,Delivery
Masale Daan,Yes,No,3.1,4,Banashankari,North Indian,175,Delivery
Sri Manjunatha Tandoori Corner,Yes,No,3.700497969,0,Uttarahalli,Mughlai,150,Delivery
Grow Fit,Yes,No,3.6,16,JP Nagar,"Healthy Food, North Indian, Thai",250,Delivery
Cutcakes,Yes,No,3.700497969,0,Kumaraswamy Layout,Bakery,150,Delivery
Sandwich Hub,Yes,No,3.4,12,Jayanagar,"Fast Food, Sandwich",150,Delivery
Healthy Bakes 'n' Brew,Yes,No,3.700497969,0,Jayanagar,Bakery,75,Delivery
Udupi Sri Krishna Cafe,Yes,No,3.9,14,Jayanagar,"North Indian, South Indian",300,Delivery
Starlite Bakery & Fastfood,Yes,No,3.7,0,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",150,Delivery
Veganbreak24x7,Yes,No,2.8,5,City Market,"South Indian, Chinese, Continental, Biryani",99.5,Delivery
Aadhya Hotel,Yes,No,3.3,5,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",400,Delivery
Dodda Mane Baaduta,Yes,No,3.5,15,Banashankari,"North Indian, South Indian, Chinese, Biryani",125,Delivery
Swadd Kitchen,Yes,No,3.4,4,Basavanagudi,"North Indian, Fast Food",250,Delivery
Nandini Milk Parlour and Restaurant,Yes,No,3.700497969,0,Mysore Road,"Sandwich, Rolls, South Indian, Ice Cream",125,Delivery
Happy Chopsticks,Yes,No,3.6,17,Basavanagudi,"Chinese, Fast Food",150,Delivery
Sai Super Sandwich,Yes,No,3.700497969,0,Banashankari,"Sandwich, Beverages",100,Delivery
Right Pizza,Yes,No,3.700497969,0,Basavanagudi,Pizza,150,Delivery
Udupi Upachar,Yes,No,3.3,6,Banashankari,"South Indian, North Indian",250,Delivery
Davanagere Benne Dose Hut,Yes,No,3.4,10,Banashankari,South Indian,50,Delivery
The Sip Shop,Yes,No,3.700497969,0,Basavanagudi,"Pizza, Beverages, Ice Cream",100,Delivery
Jalsa,Yes,Yes,4.1,775,Banashankari,"North Indian, Mughlai, Chinese",400,Delivery
Subz,Yes,Yes,4.2,2022,Jayanagar,"North Indian, South Indian",500,Delivery
Rajastani Rasoi,Yes,No,3.700497969,0,Basavanagudi,North Indian,50,Delivery
Sri Banashankari Upahara,Yes,No,3.700497969,0,Kumaraswamy Layout,"North Indian, South Indian",75,Delivery
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,"Cafe, Italian, Continental",300,Delivery
Mint and Mustard,Yes,No,4,232,Basavanagudi,"North Indian, Chinese",375,Delivery
Chinese Square,Yes,No,3.9,38,Basavanagudi,Chinese,100,Delivery
Hyderabad Express,Yes,No,3.700497969,0,Banashankari,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",150,Delivery
Punjabi Raswada,Yes,Yes,3.5,431,Jayanagar,North Indian,400,Delivery
Vinny's,Yes,Yes,4.2,2115,Banashankari,"Pizza, Italian, Continental, Desserts",400,Delivery
Chetty's Corner,Yes,No,3.4,30,Uttarahalli,"Fast Food, Burger, Pizza",100,Delivery
Kapoor's Cafe,Yes,No,4.2,150,Jayanagar,North Indian,400,Delivery
Donne Biryani & Kabab Corner,Yes,No,3.3,12,Kumaraswamy Layout,"Chinese, Biryani",100,Delivery
Sukh Sagar,Yes,No,3.8,155,Jayanagar,"South Indian, North Indian, Chinese, Street Food",225,Delivery
S M V Snacks Corner,Yes,No,3.7,33,Basavanagudi,Fast Food,100,Delivery
Andhra Ruchulu,Yes,Yes,4.1,666,Jayanagar,"Andhra, Biryani, North Indian, Chinese",500,Delivery
The Samosa Co,Yes,No,3.700497969,0,Jayanagar,"Fast Food, Mithai",100,Delivery
Steaming Mugs,Yes,No,3.9,240,Basavanagudi,Cafe,350,Delivery
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Mexican, Italian",400,Delivery
Rajathadri Food Fort,Yes,No,4,465,Jayanagar,"South Indian, North Indian, Chinese, Street Food",300,Delivery
Brew Meister,Yes,Yes,4.1,970,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",750,Delivery
Rasoi,Yes,No,3.3,128,Banashankari,"North Indian, Chinese",150,Delivery
Mr. Singh Da Dhaba,Yes,No,3.6,241,Kumaraswamy Layout,"North Indian, Chinese",150,Delivery
Kababs N Biryani,Yes,No,3.4,22,Banashankari,South Indian,100,Delivery
Ayodhya Upachar,Yes,No,4.3,734,Banashankari,"South Indian, North Indian, Chinese, Street Food",100,Delivery
Biriyani Mane,Yes,No,3.8,130,Jayanagar,"North Indian, Biryani",200,Delivery
Cafe Ajfan,Yes,No,4.2,261,Jayanagar,"Cafe, Continental, Beverages",350,Delivery
Brundhavana Food Point,Yes,No,4,191,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",150,Delivery
SLV Corner Restaurant,Yes,No,4.1,364,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",275,Delivery
Biryani Royals Garden,Yes,No,3.700497969,0,Kumaraswamy Layout,"North Indian, Biryani, Mughlai",250,Delivery
Hotel New Karavali,Yes,No,3.8,133,Banashankari,"Mangalorean, South Indian, North Indian",150,Delivery
The Krishna Grand,Yes,No,3.9,888,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",375,Delivery
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,"Cafe, Chinese, Continental, Italian",200,Delivery
Roti Ghar,Yes,No,3.9,750,Basavanagudi,"North Indian, Chinese, South Indian",250,Delivery
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,"Cafe, Chinese, Continental, Italian",250,Delivery
Multi Snacky Hub,No,No,3.700497969,0,Basavanagudi,Fast Food,100,Delivery
Kettle & Kegs,Yes,No,3.2,6,Banashankari,"Tea, Beverages",100,Delivery
Baisakhi,Yes,No,3.8,527,Basavanagudi,North Indian,250,Delivery
Corner House Ice Cream,No,No,4.3,345,Banashankari,"Ice Cream, Desserts",200,Desserts
Poonam Sweets,No,No,4.4,356,Banashankari,Mithai,75,Desserts
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,"Desserts, Beverages",200,Desserts
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Ice Cream,75,Desserts
Cake of the Day,No,No,3.7,78,Banashankari,Bakery,75,Desserts
Amma's Pastries,No,No,3.8,60,Banashankari,Bakery,200,Desserts
Kanti Sweets,Yes,No,4,115,Banashankari,"Mithai, Street Food",200,Desserts
Sugar Rush,No,No,3.8,39,Banashankari,"Bakery, Desserts",150,Desserts
Polar Bear,Yes,No,3.9,116,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",200,Desserts
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Mexican, Italian",400,Desserts
Anand Sweets and Savouries,No,No,3.7,46,Banashankari,"Mithai, Street Food",200,Desserts
Ibaco,Yes,No,3.9,41,Banashankari,Desserts,150,Desserts
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,"Chinese, Cafe, Italian",350,Desserts
The Lassi and Juice Park,No,No,3.8,28,Banashankari,"Juices, Desserts",75,Desserts
Stoned Monkey,Yes,No,4.3,860,Banashankari,"Desserts, Ice Cream",250,Desserts
Parimala Sweets,No,No,3.5,14,Banashankari,"Mithai, Street Food",100,Desserts
The Big O Bakes,No,No,4,66,Banashankari,"Bakery, Desserts",150,Desserts
Shree Mahalakshmi Sweets,Yes,No,3.2,8,Banashankari,"Mithai, Street Food",50,Desserts
Keventers,Yes,No,3.7,54,Banashankari,"Desserts, Beverages, Ice Cream",200,Desserts
Dessert Rose,No,No,3.5,7,Banashankari,Desserts,250,Desserts
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Ice Cream,150,Desserts
Corner Stone,No,No,3.6,42,Banashankari,"Beverages, Juices, Desserts, Italian",150,Desserts
Kaggis,No,No,3.8,64,Banashankari,"Fast Food, Bakery",125,Desserts
Cocoa Bakes,Yes,No,3.6,14,Banashankari,"Bakery, Desserts",175,Desserts
Floured-Baked With Love,No,No,3.8,45,Banashankari,Bakery,200,Desserts
CAFE NOVA,No,No,3.2,11,Banashankari,"Cafe, Bakery",300,Desserts
Cakes & Slices,No,No,3.5,13,Banashankari,"Bakery, Desserts",150,Desserts
Arun Ice Cream,No,No,3.4,7,Banashankari,"Ice Cream, Desserts",75,Desserts
Just Bake,No,No,3.4,8,Banashankari,"Bakery, Desserts",200,Desserts
Dharwad Line Bazaar Mishra Pedha,No,No,3.700497969,0,Banashankari,Mithai,75,Desserts
Cake Bite,No,No,3.700497969,0,Banashankari,Bakery,150,Desserts
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,"Ice Cream, Desserts",100,Desserts
Melting Melodies,No,No,3.700497969,0,Banashankari,Bakery,150,Desserts
Sweet N Swirl,No,No,3.2,17,Banashankari,"Desserts, Ice Cream",75,Desserts
Me And My Cake,No,No,3.700497969,0,Banashankari,"Bakery, Desserts",250,Desserts
Mukesh Sweet Centre,No,No,3.700497969,0,Banashankari,Mithai,150,Desserts
Darkolates,No,No,3.700497969,0,Banashankari,Desserts,100,Desserts
Sai Super Sandwich,Yes,No,3.700497969,0,Banashankari,"Sandwich, Beverages",100,Desserts
Sweet Truth,Yes,No,3.9,35,Banashankari,"Bakery, Desserts",250,Desserts
Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,"Fast Food, Desserts, Ice Cream",200,Desserts
Gopi Ice Creams,No,No,3.700497969,0,Banashankari,Ice Cream,50,Desserts
Sri Venkateshwara Sweet Meat Stall,No,No,4,98,Basavanagudi,"Mithai, Street Food, North Indian, Chinese",200,Desserts
Baskin Robbins,No,No,3.7,25,Basavanagudi,"Ice Cream, Desserts",125,Desserts
Redberrys,Yes,No,4,219,Basavanagudi,"Cafe, Italian",300,Desserts
Amande Patisserie,Yes,No,4,73,Basavanagudi,"Bakery, French, Desserts",150,Desserts
Srinivasa Brahmins Bakery,No,No,3.6,16,Basavanagudi,"Bakery, Street Food",75,Desserts
Jain Bakes,No,No,3.6,8,Basavanagudi,"Bakery, Desserts",125,Desserts
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,200,Desserts
KC Das - Sweet Spot,No,No,3.6,46,Basavanagudi,"Mithai, Street Food",100,Desserts
